model,held_out,H,f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr,mcc,bal_acc,brier,detection_rate,mean_timing_err,false_toggle_rate,n_true_switches
XGBoost-instant,Silverstone,10,0.9282314669932988,0.9108956075299487,0.945567326456649,0.9709940650834344,0.9272250559208005,0.8566383003377768,0.9263081219490947,0.05615551611904596,0.8709677419354839,0.9475308641975309,0.6908602150537635,372
XGBoost-instant,Suzuka,10,0.8909275202567457,0.8558451717090156,0.9260098688044759,0.9649073073390708,0.9269162845749828,0.7818663839663522,0.891572288225295,0.07872062229659718,0.595797280593325,0.8921161825726142,1.138442521631644,809
RF-lag,Monaco,10,0.552150583325617,0.17296113847837985,0.9313400281728541,0.9081052963421989,0.5568016175972295,0.23602922068413543,0.5462002744693162,0.0843892918567994,0.21657754010695188,-0.3333333333333333,1.0561497326203209,374
RF-lag,Monza,10,0.8510195276246622,0.8689143328364363,0.8331247224128882,0.9479605575864999,0.9604991374820009,0.7020557523859242,0.8512924338414294,0.09759836090961217,0.7056737588652482,1.193467336683417,0.5939716312056738,564
RF-lag,Silverstone,10,0.8921502796791052,0.8611667577247617,0.9231338016334487,0.9601326988778652,0.8655653072631659,0.7906530565149527,0.8819161377361112,0.11045797572944553,0.7741935483870968,1.4652777777777777,1.4865591397849462,372
RF-lag,Suzuka,10,0.8743519772919457,0.8267269419482882,0.921977012635603,0.9596818311738206,0.8743469960821044,0.7558361314995635,0.8598447636761535,0.09607907799026941,0.61557478368356,1.8795180722891567,1.9357231149567367,809
Persistence,Monaco,10,0.7726343646511551,0.6024042742653607,0.9428644550369494,0.7567523119012509,0.4243278981154611,0.5476526361324159,0.7567523119012508,0.09991328913876535,0.0427807486631016,-2.6875,0.9491978609625669,374
Persistence,Monza,10,0.8094566216805885,0.8329326923076923,0.7859805510534846,0.8094566216805884,0.7876023637333294,0.6189132433611769,0.8094566216805885,0.18765098763677704,0.13297872340425532,1.1466666666666667,0.8670212765957447,564
Persistence,Silverstone,10,0.8376852703185343,0.8012938486420166,0.8740766919950521,0.8390533549174961,0.715132400906995,0.6754935400591423,0.8390533549174961,0.15415566996928134,0.07258064516129033,-0.37037037037037035,0.9139784946236559,372
Persistence,Suzuka,10,0.8515884241887568,0.8036802062533175,0.8994966421241961,0.8518717542266608,0.711820566493993,0.7031794280038204,0.851871754226661,0.13294649275957687,0.0754017305315204,0.5081967213114754,0.9245982694684796,809
