f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr,mcc,bal_acc,brier,model,held_out,H,stopped_epoch
0.6771142336896585,0.7737513343446261,0.5804771330346911,0.655877246070295,0.6301154404643201,0.4101694817754726,0.6806659331677993,0.2498696131625299,LR-instant,Monza,25,
0.7312303607304338,0.7533220910623946,0.7091386303984729,0.8296356923227118,0.8801061112463908,0.4640228070813628,0.73326350406837,0.1827760559023902,RF-instant,Monza,25,
0.656189002184967,0.625770801633699,0.686607202736235,0.708399452986092,0.7942361061666384,0.3696025026971744,0.6779423002489922,0.2237698635170477,RF-lag,Monza,25,
0.7689802987553158,0.7553446412629798,0.7826159562476517,0.8560376360431531,0.6868778240841616,0.5988153092645306,0.8066659824734224,0.183665568191626,LR-instant,Silverstone,25,
0.823304117125233,0.7923678850895058,0.8542403491609601,0.8959800446533859,0.8096270417815261,0.6573921251867246,0.838205979133677,0.1268756111131006,RF-instant,Silverstone,25,
0.5799705385078563,0.3733356539900792,0.7866054230256334,0.8351347511408346,0.6904247388981178,0.2695342652679864,0.5951584788087938,0.1847867878048754,RF-lag,Silverstone,25,
0.6230618564126212,0.4688583879287344,0.777265324896508,0.7681008990014769,0.5830494048852337,0.2572513704906849,0.618510262474944,0.1877761968685018,LR-instant,Suzuka,25,
0.4686257161762326,0.2024498964585307,0.7348015358939346,0.6573605699729055,0.3901863061077395,-0.0238378617145966,0.4906984435623007,0.2444892707192159,RF-instant,Suzuka,25,
0.418564371472183,0.171494715038533,0.6656340279058331,0.5152003190789463,0.3586053144777001,-0.153697577750371,0.4307114861124922,0.2941953894445791,RF-lag,Suzuka,25,
0.5175862975760793,0.1516218254966055,0.8835507696555532,0.5893050225061589,0.1192102457688392,0.0397820821709862,0.5230917418012402,0.1552002916634545,LR-instant,Monaco,50,
0.4742675271620918,0.0065952184666117,0.941939835857572,0.7652437160244615,0.1964855478265805,-0.0221729907683099,0.4962556627474175,0.1146432305303379,RF-instant,Monaco,50,
0.4736682373612331,0.0,0.9473364747224664,0.5481263544265323,0.1010826079386322,0.0,0.5,0.1222462896223092,RF-lag,Monaco,50,
0.4252885715941271,0.6221120701934307,0.2284650729948234,0.3885649657282513,0.5492743766342019,-0.1198429081972495,0.4480171170019186,0.3403818418624638,LR-instant,Monza,50,
0.4607661522624312,0.4810173239955768,0.4405149805292855,0.464576118561975,0.6323697556995134,-0.0627696349873913,0.4683030978125124,0.3167246770089791,RF-instant,Monza,50,
0.3602824035959252,0.2297602460000961,0.4908045611917543,0.4022063058072574,0.5000322901066526,-0.1614164080022892,0.433026584990143,0.3766960545167749,RF-lag,Monza,50,
0.2819264007021597,0.5507962474543452,0.0130565539499743,0.5001071103067263,0.4178575544581038,0.0160880051037767,0.5012414599279574,0.4544727716587166,LR-instant,Silverstone,50,
0.4845829752738132,0.3015511598121531,0.6676147907354734,0.5230237518400926,0.4117122413028025,-0.0159440575178657,0.4927534506792604,0.2441220840663124,RF-instant,Silverstone,50,
0.3838397535895363,0.0529289325007433,0.7147505746783294,0.271984975782222,0.2682847872165952,-0.1438167430521801,0.4591595397563235,0.277988825232087,RF-lag,Silverstone,50,
0.392674750615211,0.0035513165237684,0.7817981847066535,0.40425635574742,0.2968900975633075,-0.0555013775791417,0.4945273643976208,0.276012498413823,LR-instant,Suzuka,50,
0.364866691805827,0.0836168542266422,0.6461165293850119,0.5456104814233482,0.3363197608294986,-0.2544490095979387,0.3919890313847067,0.3221411025468958,RF-instant,Suzuka,50,
