model,held_out,H,n_test,xmode_rate,f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr
RF-instant,Monza,5,28398,0.5654623565039791,0.954710798590866,0.9618682722130998,0.9475533249686324,0.993986325501984,0.995204751878613
RF-lag,Monza,5,28398,0.5654623565039791,0.9414044030105528,0.9517625231910947,0.9310462828300111,0.9835052906875462,0.9865324888793565
LR-instant,Silverstone,5,23278,0.38723258011856687,0.9685052635795377,0.961322277255273,0.9756882499038024,0.994793666137339,0.9912478482457558
RF-instant,Silverstone,5,23278,0.38723258011856687,0.9554880400832845,0.9443265867782811,0.9666494933882879,0.9952941611920187,0.9925466760130364
RF-lag,Silverstone,5,23278,0.38723258011856687,0.947583683690365,0.9341497227356746,0.9610176446450553,0.9920530004364123,0.9719399066056557
LR-instant,Suzuka,5,58867,0.3428406407664736,0.9614485827375345,0.949488979189755,0.9734081862853142,0.9933561562765777,0.9867710258745719
RF-instant,Suzuka,5,58867,0.3428406407664736,0.9572499849142353,0.9437336976773072,0.9707662721511635,0.9843419223953072,0.9538963829570649
RF-lag,Suzuka,5,58867,0.3428406407664736,0.950242787648444,0.9348296908840323,0.9656558844128557,0.9815307277383154,0.9483069661315412
LR-instant,Monaco,10,35751,0.13507314480713825,0.9111840427465075,0.848865554097131,0.973502531395884,0.9799889283812313,0.7653777988343994
RF-instant,Monaco,10,35751,0.13507314480713825,0.8032557977152369,0.6496620329039663,0.9568495625265075,0.9554011302716141,0.7166076647325698
RF-lag,Monaco,10,35751,0.13507314480713825,0.5440222097887752,0.1568409343715239,0.9312034852060265,0.9065419033286232,0.541030890752541
LR-instant,Monza,10,28148,0.5616029558050305,0.8732329235814438,0.9032628676470589,0.8432029795158287,0.9316599436348008,0.9225387840470264
RF-instant,Monza,10,28148,0.5616029558050305,0.902198640927643,0.9198736272002407,0.8845236546550453,0.962526987648377,0.9645650543053756
RF-lag,Monza,10,28148,0.5616029558050305,0.8381208214562348,0.8632239411927537,0.8130177017197158,0.9469512364541435,0.9597635141472318
LR-instant,Silverstone,10,23113,0.38380997706918185,0.9348746213415141,0.921631456036496,0.9481177866465322,0.9701577436808961,0.9139878635303123
RF-instant,Silverstone,10,23113,0.38380997706918185,0.9335252878102192,0.9172208209126347,0.9498297547078035,0.9720814534771521,0.9416547172860972
RF-lag,Silverstone,10,23113,0.38380997706918185,0.9233501800168444,0.9042847270214236,0.9424156330122653,0.9633845783857821,0.877078444410151
LR-instant,Suzuka,10,58422,0.3380404642086885,0.9054284900228023,0.8789212072204914,0.9319357728251133,0.9684821826256289,0.9224222226242241
RF-instant,Suzuka,10,58422,0.3380404642086885,0.8507362877150282,0.7965719198323572,0.9049006555976992,0.9452357957570623,0.8332471496655478
RF-lag,Suzuka,10,58422,0.3380404642086885,0.8703392990305742,0.8240119313944817,0.9166666666666666,0.9612088436797225,0.8839046811823261
LR-instant,Monaco,25,34701,0.11930491916659462,0.6682331964828807,0.4504111428091962,0.8860552501565653,0.8638595304836593,0.3369749135338943
RF-instant,Monaco,25,34701,0.11930491916659462,0.46279123771189723,0.0,0.9255824754237945,0.7136631978776271,0.17589297061322762
RF-lag,Monaco,25,34701,0.11930491916659462,0.46828169532040087,0.0,0.9365633906408017,0.8709978474981612,0.5611872296369231
LR-instant,Monza,25,27398,0.5573399518213008,0.6771142336896585,0.7737513343446261,0.5804771330346911,0.655877246070295,0.6301154404643201
RF-instant,Monza,25,27398,0.5573399518213008,0.709624148808299,0.75076726342711,0.668481034189488,0.8443909691515777,0.8910674181741143
